system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,2,10,4.249418620980212,False,0.010954065119812631
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",ngrc,0,9,0.40752,True,1.1825663816149979e+222
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,0,18,0.81504,False,0.07299589713835858
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,1,10,0.4528,True,20.873188525679765
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,2,42,1.90176,False,0.050067726253531605
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,0,28,1.2678399999999999,True,2.930439188220878
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,1,38,1.72064,False,2.5012427612768517
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,2,29,1.31312,True,2.484392971185253
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,0,11,0.49807999999999997,False,0.2936083397382846
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,1,11,0.49807999999999997,False,0.0853831164365467
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,2,11,0.49807999999999997,False,0.1743642945846945
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",ngrc,0,12,0.54336,True,1.4655508997789943e+181
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,0,7,0.31695999999999996,False,0.151151833219518
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,1,7,0.31695999999999996,True,14.299187293264309
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,2,4,0.18112,False,0.06183890455633939
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,0,17,0.76976,True,2.7426291512244485
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,1,24,1.08672,False,2.59477972701457
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,2,24,1.08672,False,2.839929266666452
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,0,14,0.6339199999999999,False,0.16488022689812337
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,1,15,0.6792,False,0.08850016727179326
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,2,15,0.6792,False,0.04726792467086903
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",ngrc,0,6,0.27168,True,8.710078089817696e+254
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,0,20,0.9056,False,0.08004318754987168
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,1,22,0.9961599999999999,False,0.09137426449711733
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,2,21,0.95088,False,0.05872836008964548
