system,ic_index,ic,model,seed,nrmse,n_features
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,0,0.03230068035642323,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,1,0.03740286082306242,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",esn300,2,0.03765629028449157,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,0,0.0006991201930298076,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,1,0.000535710690175956,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,2,0.0005270750615594318,300
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,0,0.010476107655164607,96
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,1,0.019558073463194395,96
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,2,0.01287206314985866,96
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",ngrc,0,0.001613071298459685,56
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,0,0.02108027725103247,300
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,1,0.02086183048207093,300
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,2,0.02144446233103826,300
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",elm300,0,0.0005710944998988286,300
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",elm300,1,0.0004562637329613289,300
