phase,system,model,seed,tau,gamma,beta,val_nrmse,test_nrmse,n_features
grid4,mackeyglass,dqrc4,1,4.0,0.2,1e-12,0.0027416122839269193,0.0029163834213634704,48
grid4,mackeyglass,dqrc4,1,10.0,0.0,1e-12,0.010134901515810743,0.010252612553809817,48
grid4,mackeyglass,dqrc4,1,10.0,0.02,1e-12,0.006964552780460095,0.006913300341507653,48
grid4,mackeyglass,dqrc4,1,10.0,0.05,1e-12,0.006244587307841726,0.006152000666894618,48
grid4,mackeyglass,dqrc4,1,10.0,0.1,1e-12,0.004221019346941759,0.00440581911196762,48
grid4,mackeyglass,dqrc4,1,10.0,0.2,1e-12,0.002834967276454446,0.0032502209856754413,48
ctrl4,mackeyglass,elmF,1,,,1e-06,0.0018738685806722751,0.002123567878446512,48
ctrl4,mackeyglass,esnF,1,,,1e-06,0.014492578534712575,0.01483093756937594,48
ctrl4,mackeyglass,ngrc,1,,,1e-06,0.001997581283302922,0.0022945731514897754,21
grid4,mackeyglass,dqrc4,2,1.0,0.0,1e-12,0.014008316356456772,0.015259930271358836,48
grid4,mackeyglass,dqrc4,2,1.0,0.02,1e-12,0.012501043866982541,0.01408737914482812,48
grid4,mackeyglass,dqrc4,2,1.0,0.05,1e-12,0.012166840767933812,0.013468768210357116,48
grid4,mackeyglass,dqrc4,2,1.0,0.1,1e-12,0.011666795881741864,0.012974146320118946,48
grid4,mackeyglass,dqrc4,2,1.0,0.2,1e-09,0.010109883967430455,0.011201850710263176,48
grid4,mackeyglass,dqrc4,2,4.0,0.0,1e-12,0.009949288872453646,0.01158305527696567,48
grid4,mackeyglass,dqrc4,2,4.0,0.02,1e-09,0.005151677397358565,0.005381808148127059,48
grid4,mackeyglass,dqrc4,2,4.0,0.05,1e-12,0.00506641164078582,0.005545612716314924,48
grid4,mackeyglass,dqrc4,2,4.0,0.1,1e-12,0.00444006556820546,0.004668831705864571,48
grid4,mackeyglass,dqrc4,2,4.0,0.2,1e-12,0.0038675512100831834,0.004163703251274685,48
grid4,mackeyglass,dqrc4,2,10.0,0.0,1e-12,0.006159815240569015,0.006312343596784078,48
grid4,mackeyglass,dqrc4,2,10.0,0.02,1e-09,0.004252831049710293,0.004565746424431723,48
grid4,mackeyglass,dqrc4,2,10.0,0.05,1e-12,0.00444335028663131,0.004580645617074943,48
grid4,mackeyglass,dqrc4,2,10.0,0.1,1e-12,0.00366690138602141,0.0037739118473979136,48
grid4,mackeyglass,dqrc4,2,10.0,0.2,1e-12,0.003471701066312051,0.0037337408098609263,48
ctrl4,mackeyglass,elmF,2,,,1e-06,0.0019756502967208903,0.0022280413871440742,48
ctrl4,mackeyglass,esnF,2,,,1e-06,0.014041984903473881,0.014226759804920937,48
ctrl4,mackeyglass,ngrc,2,,,1e-06,0.001997581283302922,0.0022945731514897754,21
grid4,mackeyglass,dqrc4,3,1.0,0.0,1e-12,0.006937610877631636,0.006901226631434511,48
grid4,mackeyglass,dqrc4,3,1.0,0.02,1e-12,0.003779778268477709,0.0038615142438818383,48
grid4,mackeyglass,dqrc4,3,1.0,0.05,1e-12,0.0030736007033677613,0.0033011480916565463,48
grid4,mackeyglass,dqrc4,3,1.0,0.1,1e-12,0.0027464297488954924,0.0027495680809626805,48
grid4,mackeyglass,dqrc4,3,1.0,0.2,1e-12,0.002708126345309963,0.002879298383359964,48
grid4,mackeyglass,dqrc4,3,4.0,0.0,1e-12,0.013450087813726787,0.013981863447242778,48
grid4,mackeyglass,dqrc4,3,4.0,0.02,1e-06,0.007833487615404837,0.00820008316461636,48
grid4,mackeyglass,dqrc4,3,4.0,0.05,1e-09,0.004649349813837461,0.005204355280396374,48
grid4,mackeyglass,dqrc4,3,4.0,0.1,1e-12,0.004444892219815186,0.00503653204069476,48
grid4,mackeyglass,dqrc4,3,4.0,0.2,1e-12,0.002956367019906628,0.003162582631642195,48
grid4,mackeyglass,dqrc4,3,10.0,0.0,1e-12,0.015759712748269636,0.015414429564965748,48
grid4,mackeyglass,dqrc4,3,10.0,0.02,1e-12,0.00931120502200841,0.009606019994209933,48
grid4,mackeyglass,dqrc4,3,10.0,0.05,1e-12,0.0048970662374072235,0.005288613090465968,48
grid4,mackeyglass,dqrc4,3,10.0,0.1,1e-12,0.0032816188502786166,0.0037242825390035646,48
grid4,mackeyglass,dqrc4,3,10.0,0.2,1e-12,0.003328333847548697,0.003688182522238683,48
ctrl4,mackeyglass,elmF,3,,,1e-06,0.001890042844998088,0.0021582208241278417,48
ctrl4,mackeyglass,esnF,3,,,1e-06,0.012745876130461044,0.013358776358674397,48
ctrl4,mackeyglass,ngrc,3,,,1e-06,0.001997581283302922,0.0022945731514897754,21
grid4,mackeyglass,dqrc4,4,1.0,0.0,1e-12,0.01195620623914334,0.013051805858585761,48
grid4,mackeyglass,dqrc4,4,1.0,0.02,1e-12,0.00902383147325168,0.008979123458439304,48
grid4,mackeyglass,dqrc4,4,1.0,0.05,1e-12,0.006764567829991071,0.007074434701961747,48
grid4,mackeyglass,dqrc4,4,1.0,0.1,1e-12,0.0070336769385365375,0.0076201880213919975,48
grid4,mackeyglass,dqrc4,4,1.0,0.2,1e-12,0.004971257555964233,0.005132632787989575,48
grid4,mackeyglass,dqrc4,4,4.0,0.0,1e-09,0.008654880630055409,0.01053530520335283,48
grid4,mackeyglass,dqrc4,4,4.0,0.02,1e-12,0.005675134406332326,0.005993086303550432,48
grid4,mackeyglass,dqrc4,4,4.0,0.05,1e-12,0.0056874792786985725,0.006037053568673455,48
grid4,mackeyglass,dqrc4,4,4.0,0.1,1e-12,0.005131104289214931,0.0059129633243421974,48
grid4,mackeyglass,dqrc4,4,4.0,0.2,1e-09,0.0062912989267608615,0.006717956036517426,48
grid4,mackeyglass,dqrc4,4,10.0,0.0,1e-09,0.010161419684700815,0.011081166031833553,48
grid4,mackeyglass,dqrc4,4,10.0,0.02,1e-12,0.007948298433758546,0.008342895584069105,48
grid4,mackeyglass,dqrc4,4,10.0,0.05,1e-12,0.007741967736729079,0.00793265347109397,48
grid4,mackeyglass,dqrc4,4,10.0,0.1,1e-12,0.005687069815552979,0.006054358917626563,48
grid4,mackeyglass,dqrc4,4,10.0,0.2,1e-12,0.003840743212984013,0.004278495511797988,48
ctrl4,mackeyglass,elmF,4,,,1e-06,0.0018054497015621612,0.0020617782467060707,48
ctrl4,mackeyglass,esnF,4,,,1e-06,0.01405416175448706,0.014327917342894956,48
ctrl4,mackeyglass,ngrc,4,,,1e-06,0.001997581283302922,0.0022945731514897754,21
confirm5,henon,dqrc5,0,10.0,0.2,1e-12,0.010081606075742548,0.008032588079077188,60
confirm5,henon,dqrc5,1,10.0,0.2,1e-12,0.018447314556774206,0.015404033889989033,60
confirm5,henon,dqrc5,2,10.0,0.2,1e-12,0.01249339359822623,0.011505612271413697,60
confirm5,henon,dqrc5,3,10.0,0.2,1e-12,0.006709253289946514,0.005441131806235008,60
confirm5,henon,dqrc5,4,10.0,0.2,1e-12,0.0073875679940884125,0.006846112072513182,60
confirm5,lorenz,dqrc5,0,10.0,0.2,1e-12,0.00522693631885232,0.007523164156443259,60
confirm5,lorenz,dqrc5,1,10.0,0.2,1e-12,0.004705804223141967,0.007632427281482498,60
confirm5,lorenz,dqrc5,2,10.0,0.2,1e-12,0.005956764653356934,0.00862001697311594,60
