system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
lorenz,6,elmF,18,0.0014910957595458615,96,1500,,,5,,,
lorenz,6,elmF,19,0.001431544979274671,96,1500,,,5,,,
lorenz,6,esnF,0,0.11796193532153972,96,1500,,,5,,,
lorenz,6,esnF,1,0.08173969686643019,96,1500,,,5,,,
lorenz,6,esnF,2,0.11775126522903553,96,1500,,,5,,,
lorenz,6,esnF,3,0.07435037591063384,96,1500,,,5,,,
lorenz,6,esnF,4,0.09930559740452698,96,1500,,,5,,,
lorenz,6,esnF,5,0.0855025882237368,96,1500,,,5,,,
lorenz,6,esnF,6,0.11124480385423786,96,1500,,,5,,,
lorenz,6,esnF,7,0.08016662980178015,96,1500,,,5,,,
lorenz,6,esnF,8,0.06478035401502515,96,1500,,,5,,,
lorenz,6,esnF,9,0.06307004200070565,96,1500,,,5,,,
lorenz,6,esnF,10,0.055869092250824585,96,1500,,,5,,,
lorenz,6,esnF,11,0.08029812193764795,96,1500,,,5,,,
lorenz,6,esnF,12,0.051971524221526635,96,1500,,,5,,,
lorenz,6,esnF,13,0.11651341130610035,96,1500,,,5,,,
lorenz,6,esnF,14,0.09538153729112848,96,1500,,,5,,,
lorenz,6,esnF,15,0.0992713582253042,96,1500,,,5,,,
lorenz,6,esnF,16,0.072661481704242,96,1500,,,5,,,
lorenz,6,esnF,17,0.0986703707116448,96,1500,,,5,,,
lorenz,6,esnF,18,0.09949391173396879,96,1500,,,5,,,
lorenz,6,esnF,19,0.08202175480159807,96,1500,,,5,,,
lorenz,6,qrc,0,0.01327462181321126,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,1,0.02547991976453791,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,2,0.016617888865756113,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,3,0.013611677896165325,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,4,0.011721513611702815,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,5,0.014804548137767291,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,6,0.024540740857779606,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,7,0.01326964281693569,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,8,0.02241662219864429,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,qrc,9,0.011043255874897328,96,1500,6,4,5,exact,Z+X+Y+ZZ,
mackeyglass,6,ngrc,0,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,1,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,2,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,3,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,4,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,5,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,6,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,7,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,8,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,9,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,10,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,11,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,12,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,13,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,14,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,15,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,6,ngrc,16,0.0022945731514897754,21,1500,,,5,,,2
