experiment,system,n,V,readout,vs,seed,dm_stat,p
readout,lorenz,8,4,delay3,elmF_same,3,6.64568519422674,2.0389490515361857e-10
readout,lorenz,8,4,delay3,ngrc,3,6.472878655029321,5.43894322950381e-10
readout,lorenz,8,4,delay3,qrc_base,4,-5.529700222547733,8.419464578816895e-08
readout,lorenz,8,4,delay3,elmF_same,4,6.725826366116262,1.2862630825987884e-10
readout,lorenz,8,4,delay3,ngrc,4,6.556126344009267,3.397470598638625e-10
readout,lorenz,8,4,delay3+poly2,qrc_base,0,-7.227480487813872,6.6506899324724824e-12
readout,lorenz,8,4,delay3+poly2,elmF_same,0,7.105451155881377,1.3837990661044352e-11
readout,lorenz,8,4,delay3+poly2,ngrc,0,-5.777466662079826,2.3617882841804328e-08
readout,lorenz,8,4,delay3+poly2,qrc_base,1,-8.057441361209053,3.762646362034702e-14
readout,lorenz,8,4,delay3+poly2,elmF_same,1,7.512638269999202,1.1659001756900033e-12
readout,lorenz,8,4,delay3+poly2,ngrc,1,-4.814768002526247,2.621658475977982e-06
readout,lorenz,8,4,delay3+poly2,qrc_base,2,-6.804216502432651,8.168472836296781e-11
readout,lorenz,8,4,delay3+poly2,elmF_same,2,7.4228039648927675,2.0265779723742913e-12
readout,lorenz,8,4,delay3+poly2,ngrc,2,-6.149963238215648,3.248770589311924e-09
readout,lorenz,8,4,delay3+poly2,qrc_base,3,-7.2136248464434205,7.23040729801757e-12
readout,lorenz,8,4,delay3+poly2,elmF_same,3,7.0072949256274875,2.4808934359042677e-11
readout,lorenz,8,4,delay3+poly2,ngrc,3,-6.444036738023007,6.396109779528793e-10
readout,lorenz,8,4,delay3+poly2,qrc_base,4,-6.925644905948121,4.016393754481151e-11
readout,lorenz,8,4,delay3+poly2,elmF_same,4,6.914126017565238,4.2976387711371726e-11
readout,lorenz,8,4,delay3+poly2,ngrc,4,-6.45023742204012,6.177288765020892e-10
vsweep,lorenz,6,4,base,elmF_sameF,0,8.688947012891198,2.474059113310072e-16
vsweep,lorenz,6,4,base,elmF_sameF,1,12.397546843142228,9.582358610935542e-29
vsweep,lorenz,6,4,base,elmF_sameF,2,9.772053746677834,9.553153868792169e-20
vsweep,lorenz,6,4,base,elmF_sameF,3,9.325070718970828,2.5972012393886272e-18
vsweep,lorenz,6,4,base,elmF_sameF,4,8.636493039038767,3.57345348112563e-16
vsweep,lorenz,6,8,base,elmF_sameF,0,8.4962113062121,9.492505735183286e-16
vsweep,lorenz,6,8,base,qrc_V4,0,-4.924620213815409,1.4029010019527959e-06
vsweep,lorenz,6,8,base,elmF_sameF,1,10.156816962696132,5.236370647129701e-21
vsweep,lorenz,6,8,base,qrc_V4,1,-8.810356386228364,1.0512701388204861e-16
vsweep,lorenz,6,8,base,elmF_sameF,2,8.333975214393076,2.9039616538641244e-15
vsweep,lorenz,6,8,base,qrc_V4,2,-6.052399366716117,4.280654614847916e-09
vsweep,lorenz,6,8,base,elmF_sameF,3,9.050349002962507,1.8989856938750086e-17
vsweep,lorenz,6,8,base,qrc_V4,3,-5.430603188447463,1.1670198883535937e-07
vsweep,lorenz,6,8,base,elmF_sameF,4,8.962208694219045,3.5706921558352587e-17
vsweep,lorenz,6,8,base,qrc_V4,4,-3.6548573890632485,0.0003040263489160193
vsweep,lorenz,6,16,base,elmF_sameF,0,7.841050613527665,8.007394187482267e-14
vsweep,lorenz,6,16,base,qrc_V4,0,-6.568881597470163,2.2557464013341143e-10
vsweep,lorenz,6,16,base,elmF_sameF,1,9.32902682056638,2.523266360503861e-18
vsweep,lorenz,6,16,base,qrc_V4,1,-9.160847739720857,8.563768719388379e-18
vsweep,lorenz,6,16,base,elmF_sameF,2,8.004134366754283,2.7094083411295824e-14
vsweep,lorenz,6,16,base,qrc_V4,2,-6.420982025097262,5.333102455534642e-10
vsweep,lorenz,6,16,base,elmF_sameF,3,8.241588060711393,5.45803469730519e-15
vsweep,lorenz,6,16,base,qrc_V4,3,-6.502432408928745,3.326063836158928e-10
vsweep,lorenz,6,16,base,elmF_sameF,4,8.346407774991242,2.666695491767292e-15
vsweep,lorenz,6,16,base,qrc_V4,4,-5.564054064162124,5.8726934587415356e-08
readout,mackeyglass,6,4,poly2sq,qrc_base,0,-2.1140816793784656,0.0353387961954387
readout,mackeyglass,6,4,poly2sq,elmF_same,0,11.062031055205297,4.637828679703967e-24
readout,mackeyglass,6,4,poly2sq,ngrc,0,9.146316758310785,9.51208954883228e-18
readout,mackeyglass,6,4,poly2sq,qrc_base,1,-0.3730340537911693,0.7093882989172149
readout,mackeyglass,6,4,poly2sq,elmF_same,1,10.43981445556681,5.983895629312409e-22
readout,mackeyglass,6,4,poly2sq,ngrc,1,8.863753410154244,7.19978223581686e-17
readout,mackeyglass,6,4,poly2sq,qrc_base,2,-4.454048014356442,1.1932217172960268e-05
readout,mackeyglass,6,4,poly2sq,elmF_same,2,10.988187985413159,8.307474723670534e-24
readout,mackeyglass,6,4,poly2sq,ngrc,2,8.773848901971832,1.3607840448896563e-16
readout,mackeyglass,6,4,poly2sq,qrc_base,3,-3.781697456001759,0.0001882031413853724
readout,mackeyglass,6,4,poly2sq,elmF_same,3,10.580591276740048,2.0139224397105693e-22
readout,mackeyglass,6,4,poly2sq,ngrc,3,8.849508837359407,7.965792289552374e-17
readout,mackeyglass,6,4,poly2sq,qrc_base,4,-4.787006228152916,2.6698668982075633e-06
readout,mackeyglass,6,4,poly2sq,elmF_same,4,10.851937690199117,2.4251941507655593e-23
readout,mackeyglass,6,4,poly2sq,ngrc,4,8.760035486862764,1.50012230573197e-16
readout,mackeyglass,6,4,poly2int,qrc_base,0,-10.024091670001047,1.434474952338759e-20
readout,mackeyglass,6,4,poly2int,elmF_same,0,8.472979184657827,1.1149556434999649e-15
readout,mackeyglass,6,4,poly2int,ngrc,0,2.2072612858463074,0.028057767810704102
readout,mackeyglass,6,4,poly2int,qrc_base,1,-8.901057475881226,5.5225667680399624e-17
readout,mackeyglass,6,4,poly2int,elmF_same,1,8.81970682183675,9.839366570764882e-17
readout,mackeyglass,6,4,poly2int,ngrc,1,2.03310138649073,0.042928333802869235
